rank	ru	en	pos
1	и	and	C
2	в	in, to, into	Prep
3	не	not	Part
4	на	on, onto	Prep
5	я	I, me	P
6	быть	be	V
7	с	with, from, since	Prep
8	он	he	P
9	что	that	C
10	а	and, but	C
11	э'то	this	P
12	э'тот	this	P
13	по	along	Prep
14	к	to	Prep
15	но	but	C
16	они'	they	P
17	мы	we	P
18	она'	she	P
19	как	how	C
20	то	that, what	P
21	кото'рый	which, what, who	P
22	из	from, of	Prep
23	у	by, at	Prep
24	свой	one’s (own)	P
25	вы	you	P
26	весь	all, whole	P
27	за	after, behind, for	Prep
28	для	for	Prep
29	от	from, against	Prep
30	мочь	be able	V
31	так	so	P
32	ты	you	P
33	о	about	Prep
34	что	what	P
35	челове'к	human, person	Nm
36	же	indeed	Part
37	год	year	Nm
38	всё	still, all, nevertheless	Adv
39	тако'й	such, so	P
40	тот	that, the	P
41	и'ли	or	C
42	е'сли	if, in case	C
43	то'лько	only	Part
44	его'	his, its	P
45	оди'н	one	P
46	бы	would	Part
47	себя'	oneself	P
48	вре'мя	time	Nn
49	ещё	more, still	Adv
50	друго'й	other, another	P
51	уже'	already	Adv
52	когда'	when	C
53	сказа'ть	say	V
54	до	before, until, to	Prep
55	мой	my	P
56	наш	our, ours	P
57	что'бы	in order to	C
58	станови'ться	become	V
59	говори'ть	talk, speak, tell	V
60	са'мый	most, the very	P
61	знать	know	V
62	вот	here	Part
63	о'чень	very	Adv
64	кто	who	P
65	при	by, when, in the presence of	Prep
66	день	day	Nm
67	мо'жно	may, can	Adv
68	жизнь	life	Nf
69	пе'рвый	first	Num
70	сам	myself, yourself, himself	P
71	де'ло	business, case	Nn
72	два	two	Num
73	но'вый	new	A
74	да'же	even	Part
75	хоте'ть	want	V
76	до'лжен	must, have to, owe	A
77	раз	time	Nm
78	их	their, theirs, them	P
79	рабо'та	work, job	Nf
80	како'й	which, what	P
81	име'ть	have	V
82	со	with, from, since	Prep
83	там	there	P
84	по'сле	after, afterwards	Prep
85	понима'ть	understand	V
86	ли	whether	Part
87	где	where	P
88	рука'	hand, arm	Nf
89	го'род	city	Nm
90	вопро'с	question, issue	Nm
91	её	her, hers	P
92	под	under	Prep
93	дава'ть	give	V
94	сло'во	word	Nn
95	нет	no, not	Adv
96	ме'сто	place	Nn
97	ка'ждый	every	P
98	без	without	Prep
99	ребёнок	child	Nm
100	ну	well	Part
101	бо'лее	more	Adv
102	друг	friend	Nm
103	идти'	go	V
104	большо'й	big, large	A
105	про'сто	simply, just	Part
106	начина'ть	begin	V
107	чем	than	C
108	сде'лать	do, make	V
109	ваш	your, yours	P
110	на'до	necessary, must, have to	Adv
111	здесь	here	P
112	Росси'я	Russia	Nf
113	де'лать	do	V
114	ви'деть	see	V
115	пото'м	after, afterwards	P
116	да	yes	C
117	ничто'	nothing	P
118	получа'ть	receive	V
119	сейча'с	now	P
120	че'рез	in, after, across	Prep
121	мно'го	many	Num
122	мир	world, peace	Nm
123	тепе'рь	now	P
124	остава'ться	remain	V
125	слу'чай	case	Nm
126	ду'мать	think	V
127	ни	no, neither, nor	Part
128	сторона'	side	Nf
129	хоро'ший	good	A
130	глаз	eye	Nm
131	тогда'	then, at the time	P
132	тут	here	P
133	не'сколько	several, a few	Num
134	то'же	too, also	Part
135	приходи'ть	come	V
136	дом	home, house	Nm
137	страна'	country	Nf
138	рабо'тать	work	V
139	отвеча'ть	reply, answer	V
140	после'дний	last	A
141	лицо'	face	Nn
142	жить	live	V
143	си'ла	strength, force	Nf
144	же'нщина	woman	Nf
145	выходи'ть	go out	V
146	часть	part, proportion	Nf
147	та'кже	also	Part
148	всегда'	always	P
149	явля'ться	be, appear	V
150	систе'ма	system	Nf
151	вид	look, view, kind	Nm
152	голова'	head	Nf
153	коне'ц	end, finish	Nm
154	находи'ть	find	V
155	ме'жду	between	Prep
156	ока'зываться	turn out, end up	V
157	хотя'	although, but	C
158	смотре'ть	watch	V
159	коне'чно	certainly	Adv
160	пробле'ма	problem	Nf
161	принима'ть	take	V
162	спра'шивать	ask	V
163	проходи'ть	pass	V
164	отноше'ние	relationship	Nn
165	три	three	Num
166	второ'й	second, two	Num
167	пе'ред	before, in front	Prep
168	лишь	only	Part
169	и'менно	namely	Part
170	о'браз	image, way	Nm
171	поэ'тому	therefore, that’s why	P
172	почему'	why	P
173	Москва'	Moscow	Nf
174	любо'й	any	P
175	одна'ко	however	C
176	никто'	no one, nobody	P
177	час	hour	Nm
178	реша'ть	decide, solve	V
179	де'ньги	money	N-
180	счита'ть	count	V
181	над	above	Prep
182	земля'	land, ground	Nf
183	сего'дня	today	Adv
184	ру'сский	Russian	N-
185	вообще'	generally, at all	Adv
186	взять	take	V
187	кни'га	book	Nf
188	хорошо'	well, all right	Adv
189	пойти'	go, start going	V
190	не'который	some	P
191	компа'ния	company	Nf
192	исто'рия	history, story	Nf
193	мно'гие	many	P
194	приходи'ться	have to	V
195	люби'ть	love	V
196	возмо'жность	opportunity, possibility	Nf
197	ну'жно	necessary	Adv
